time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,heinz,50,-0.00491285484196,-0.00340286627138,-0.000154919591588,-1.65647415426e-16,-4.29236268641e-16,-1.0,-0.0153580680815,0.0558342688997,9.29514254228,1.86531620217e-05,-1.45459013607e-06,9.1591308829e-05
0.02,floor,heinz,50,-0.00580119686244,-0.00229586862649,-0.000142125105905,-3.73379969613e-16,2.13069910382e-16,-1.0,-0.00882738013615,-0.034676248987,9.35108481802,8.71627649402e-06,-3.12862351746e-06,2.06217299105e-05
0.03,floor,heinz,50,-0.00246411347111,-0.00638931583266,-0.000123243162381,-8.97774104079e-16,-7.28089950316e-16,-1.0,0.00498734439297,0.0201695642062,9.33200705291,5.06950586785e-06,3.13723868437e-06,-9.11816281886e-06
0.04,floor,heinz,50,-0.00588756010654,-0.00580573353752,-0.000128170051327,-5.27960193416e-16,-4.7308176745e-16,-1.0,0.0131706419247,-0.0297094331356,9.35652381263,6.14324724491e-06,-2.09267759635e-06,-7.39148793402e-05
0.05,floor,heinz,50,-0.0074609875926,-0.00601637399099,-0.000121715117886,-5.47743126636e-18,7.66843549888e-16,-1.0,-0.0119365366791,-0.00358570662877,9.36015573502,5.35401335535e-06,-2.3033210951e-06,3.91274276324e-05
0.06,floor,heinz,50,-0.0075149292131,-0.00614656668714,-0.000119713159811,-7.64680128203e-16,6.90942566829e-16,-1.0,-0.000557040381714,-0.00741448383595,9.35287467357,4.81702258979e-06,-1.83890874608e-06,-5.43826797183e-06
0.07,floor,heinz,50,-0.00860816780237,-0.00523815873606,-0.000131269830982,-3.19180618654e-17,-6.53058088408e-16,-1.0,0.00581755477921,-0.0277454064252,9.37150611683,2.59833788222e-06,-6.2507753844e-07,-3.53768660277e-05
0.08,floor,heinz,50,-0.010257536363,-0.00698673462332,-0.000124994725774,4.44543900827e-17,2.55250636464e-17,-1.0,0.00572974067964,-0.0139022612453,9.36871156461,2.42558765482e-06,-6.18418616776e-07,-3.21792926192e-05
0.09,floor,heinz,49,-0.00887157582073,-0.00549232307423,-0.000104548666676,-9.89804952251e-16,-1.35269994961e-16,-1.0,-0.000622674093856,-0.00113795162815,9.35929952851,3.33806070888e-06,-1.29210777514e-06,1.78913633644e-06
0.1,floor,heinz,46,-0.00829390263727,-0.00411698761042,-0.000101762190311,1.738510995e-15,-2.64155356319e-16,-1.0,-0.000634244404156,-0.00181965381302,9.35977912292,2.98993909428e-06,-1.15122429063e-06,1.39581377063e-06
0.11,floor,heinz,44,-0.00755546317387,-0.00322254908255,-9.73384034696e-05,-5.54867831121e-16,-2.75672755481e-16,-1.0,-0.000602117271173,-0.00173257100431,9.36024056499,2.67308637945e-06,-1.02650583809e-06,1.32300222082e-06
0.12,floor,heinz,44,-0.00755545156574,-0.00322251567706,-8.89417590693e-05,1.38123530218e-15,-6.93449191342e-16,-1.0,-0.000571316115402,-0.00164395773336,9.36067844498,2.39588701732e-06,-9.17552141929e-07,1.25641082934e-06
0.13,floor,heinz,38,-0.00819338715636,-0.000264097301834,-9.4625208694e-05,6.35130743709e-16,-3.24336506099e-16,-1.0,-0.000542083352496,-0.00155981623063,9.36109391835,2.15301846785e-06,-8.22219452069e-07,1.19312659169e-06
0.14,floor,heinz,38,-0.00819337682587,-0.000264067579479,-8.71073830463e-05,1.93096431729e-15,-4.37502618881e-16,-1.0,-0.000514341889148,-0.00147996802838,9.36148813188,1.93981645998e-06,-7.38654636317e-07,1.1329710873e-06
0.15,floor,heinz,35,-0.0085492145074,0.00226471541607,-8.71856508873e-05,1.89707724073e-15,-9.83873449952e-16,-1.0,-0.000488016119543,-0.00140419575346,9.361862174,1.75227611599e-06,-6.65266335213e-07,1.07579551406e-06
0.16,floor,heinz,30,-0.011011612736,-0.00209109698131,-9.40363916339e-05,1.35531923681e-15,-8.75742277479e-16,-1.0,-0.000463034206123,-0.00133229253257,9.36221707733,1.5869577692e-06,-6.0068744672e-07,1.021457684e-06
0.17,floor,heinz,30,-0.0110116041033,-0.00209107214164,-8.75773714741e-05,3.14808763389e-15,-1.31133131248e-15,-1.0,-0.000439327914443,-0.0012640618667,9.36255382162,1.44090569883e-06,-5.43742949975e-07,9.69821627808e-07
0.18,floor,heinz,30,-0.00963698001713,-0.000632525155333,-8.18370559434e-05,-1.25422942304e-16,-2.05099207353e-16,-1.0,-0.0022562196587,-0.0023445151565,9.3637635461,1.73011236358e-06,-7.59489727576e-07,6.39527324694e-06
0.19,floor,heinz,30,-0.0096369725086,-0.000632502790989,-7.60420971077e-05,1.26992924319e-15,-3.36908808378e-16,-1.0,-0.000378166353281,-0.00112942863244,9.3631723757,1.56275696928e-06,-6.65564331348e-07,8.17016179281e-07
0.2,floor,heinz,30,-0.00963696538219,-0.00063248148437,-7.05438376122e-05,-9.75123578596e-16,2.18923684709e-16,-1.0,-0.000356778700528,-0.00106650106584,9.3634604724,1.43109045283e-06,-6.06352458257e-07,7.70297456828e-07
0.21,floor,heinz,30,-0.00963695858297,-0.00063246115781,-6.53267847088e-05,-3.63650514518e-16,-3.43055750769e-16,-1.0,-0.00033852261763,-0.00101183725255,9.36373360267,1.31322346609e-06,-5.53510585639e-07,7.31130148071e-07
0.22,floor,heinz,30,-0.00963695209796,-0.00063244177217,-6.03765556792e-05,1.07915902299e-15,8.17102737677e-16,-1.0,-0.000321196762178,-0.000959999732506,9.36399275864,1.20740176822e-06,-5.06231703732e-07,6.93911903437e-07
0.23,floor,heinz,30,-0.00963694591449,-0.000632423289379,-5.56795039291e-05,-5.28077451982e-16,1.18321442484e-16,-1.0,-0.000304755994811,-0.000910813232822,9.36423865622,1.11217994385e-06,-4.63846048091e-07,6.5857632396e-07
0.24,floor,heinz,30,-0.00963694002018,-0.000632405672301,-5.12226808147e-05,1.40272710236e-16,7.96196167563e-16,-1.0,-0.000289155304891,-0.000864142468518,9.36447197391,1.02630314983e-06,-4.25771144951e-07,6.25029668575e-07
