time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,spray_bottle,20,0.000991452933958,-0.00468850219994,-0.000549785604325,-7.72414136848e-05,-7.72414136955e-05,-0.999999880675,0.000822124459432,-0.0519545087233,7.08963164351,-7.12364217258e-05,-2.81109929674e-06,-0.00114705571721
0.02,floor,spray_bottle,20,0.00298302250952,-0.00508832894569,-0.000518988900386,-0.000154143338728,-0.000154143338703,-0.999999524794,-0.0360675519116,0.0383377885297,7.08548316656,-1.27517044074e-05,4.36995229618e-06,0.000755111667181
0.03,floor,spray_bottle,20,0.00298300080391,-0.00508852855408,-0.000483686271006,-0.000153800478796,-0.000153800478816,-0.999999526906,-0.0591533073992,0.093371085478,7.20864948229,-7.62507952616e-06,-3.29705514723e-07,0.00192463402524
0.04,floor,spray_bottle,20,-4.92990431512e-05,-0.00602307048818,-0.000444012886351,-0.000153514092083,-0.000153514092101,-0.999999528666,-0.0244367523031,0.0636426607387,7.09081545492,2.16003295823e-06,1.75547185816e-08,0.00132543582051
0.05,floor,spray_bottle,20,0.000423150465433,-0.00617507440346,-0.000407062810752,-0.000153090760373,-0.000153090760358,-0.999999531262,-0.0645690572991,0.194106301657,7.05253987999,-4.08199402028e-06,4.1681868314e-06,0.00453430800308
0.06,floor,spray_bottle,20,0.00256864353252,-0.0050538168064,-0.000398900973942,-0.000127116877417,-0.000127116877418,-0.999999676825,-0.0320567362217,0.00236543883169,7.0902357473,-5.8550998297e-07,-1.0905859834e-07,-2.11835535729e-05
0.07,floor,spray_bottle,20,0.00234423983386,-0.00488837331472,-0.000365953058254,-0.00012640736221,-0.000126407362199,-0.999999680423,-0.0312581981862,-0.00326325928479,7.09143837824,-4.56052135167e-07,-1.23482902847e-07,-0.000141673241366
0.08,floor,spray_bottle,20,-0.00135286769846,-0.00622699060968,-0.00033496896748,-7.5281965086e-05,-7.52819650835e-05,-0.999999886652,-0.0415261708728,0.160254328049,7.09291728418,3.07852352018e-05,-2.8005323301e-05,0.017862232577
0.09,floor,spray_bottle,20,-0.00439243547358,-0.0057083900195,-0.000321954567486,-7.46886601866e-05,-7.46886601855e-05,-0.999999888432,-0.00514906729154,-0.0954948630068,7.09478974989,5.84857750896e-07,-8.3270354849e-07,-0.00207215638781
0.1,floor,spray_bottle,20,-0.00438935435533,-0.00578892090473,-0.000297899557577,-7.4013951455e-05,-7.40139514514e-05,-0.999999890439,0.00442158232911,-0.00542385296283,7.09659528442,-1.06372535676e-05,9.90564079218e-06,-0.000108002474474
0.11,floor,spray_bottle,20,-0.00554121124119,-0.00614389955938,-0.000278735869065,-8.15030302795e-05,-8.15030302826e-05,-0.999999867145,0.00461281096308,-0.00058787467138,7.09719904229,-1.05561181135e-05,9.95250639328e-06,-2.83438693794e-06
0.12,floor,spray_bottle,20,-0.00554242135014,-0.00614236574707,-0.000256909388409,-8.0802624278e-05,-8.08026242703e-05,-0.999999869419,0.005609471072,0.0019004770435,7.09785053225,-1.08201515718e-05,1.03547944694e-05,5.31041622478e-05
0.13,floor,spray_bottle,20,-0.00450021518514,-0.00639050551101,-0.000246289978172,-8.01704396836e-05,-8.01704396886e-05,-0.999999871454,0.0224824102198,0.00887790968755,7.11398928611,-9.72583019793e-06,1.231494374e-05,0.000257755408257
0.14,floor,spray_bottle,20,-0.0033551970851,-0.00595579843201,-0.000243898682872,-7.96930129832e-05,-7.96930129811e-05,-0.99999987298,-0.01812319394,0.0178325200111,7.09791817727,6.68270156584e-06,3.82150944302e-07,0.000329667928181
0.15,floor,spray_bottle,20,-0.00629766603266,-0.00585849474311,-0.000231030765117,-8.90579642647e-05,-8.90579642664e-05,-0.999999841373,-0.0143463698535,-0.0352991190037,7.29005784402,7.68314616414e-06,1.16045214465e-06,-0.000583399106673
0.16,floor,spray_bottle,20,-0.00629685617116,-0.00581396855842,-0.000212357381205,-8.8361778805e-05,-8.83617788005e-05,-0.999999843844,-0.0160594502623,-0.00849159414668,7.09956621316,5.66296521654e-06,6.87737592505e-07,-0.000213793202618
0.17,floor,spray_bottle,20,-0.00391208276143,-0.00563584343658,-0.000205865731861,-8.75900320202e-05,-8.75900320125e-05,-0.999999846559,0.000243274503767,-0.0154557707292,7.10031100358,8.28708644096e-07,2.54202444126e-07,-0.000321802454029
0.18,floor,spray_bottle,20,-0.00123652026826,-0.00596916027889,-0.000169710330161,-0.000231454313783,-0.000231454313772,-0.999998928567,0.0271845282873,-0.043486347572,7.10402335709,-1.54099249197e-05,1.77745977619e-05,-0.000859617829689
0.19,floor,spray_bottle,20,-0.00405040751912,-0.00702135779515,-0.000183487997067,-8.60864246993e-05,-8.60864246937e-05,-0.999999851782,-0.0241699164523,0.0809104939019,7.10160194829,1.56651129307e-06,-9.04450351372e-07,0.00159675161498
0.2,floor,spray_bottle,20,-0.00488887824804,-0.00687310442241,-0.000172859332198,-9.7620398766e-05,-9.76203987687e-05,-0.999999809405,-0.024033494569,0.0781085670684,7.1023811148,1.57188590108e-06,-8.4764805054e-07,0.00153358208374
0.21,floor,spray_bottle,20,-0.00384176776419,-0.00705401482826,-0.000157161379361,-9.69516168239e-05,-9.69516168237e-05,-0.999999812007,0.0303597409977,-0.0120151758821,7.1037972769,-6.4504667113e-06,5.18985020093e-06,-0.000184729321934
