time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,heinz,50,-0.00353397966643,-0.00360511712231,-9.11206196294e-06,0.0,0.0,-1.0,0.000168170949975,-0.00264159536723,9.2904851926,1.77184265523e-12,-5.69409103202e-13,-2.34662683691e-06
0.02,floor,heinz,50,0.000448631907118,-0.00231532383572,-8.80189677e-06,0.0,0.0,-1.0,0.0028216561664,-0.00669137085844,9.29089405853,1.76950168927e-11,2.10209280538e-12,-1.55355096145e-05
0.03,floor,heinz,50,0.0014305302601,-0.00129923049977,-8.50426788024e-06,0.0,0.0,-1.0,-1.77428349954e-05,-1.06382237962e-05,9.29025432367,2.04715931706e-12,2.71988074424e-12,6.36309209245e-08
0.04,floor,heinz,50,0.00167049357644,2.9769490285e-05,-8.22233133166e-06,0.0,0.0,-1.0,2.93542081756e-05,1.17617131295e-05,9.29026291223,-2.63543093598e-13,2.83262909656e-12,-1.08341403068e-07
0.05,floor,heinz,50,4.88969176182e-05,0.00196887950749,-7.95658109161e-06,0.0,0.0,-1.0,-9.22609811728e-05,0.000301099903409,9.29027450884,-2.01908932282e-12,7.49088291396e-14,5.572309354e-07
0.06,floor,heinz,50,-0.00456675473159,0.00339120949977,-7.70530548462e-06,0.0,0.0,-1.0,0.00203120402737,0.000917436388001,9.29025421546,-5.93550816136e-13,-5.1668331072e-12,-7.42008623242e-06
0.07,floor,heinz,50,-0.00707499138621,-0.00174970879134,-7.4666665124e-06,0.0,0.0,-1.0,-0.00186907801644,0.00192449751396,9.29048268129,2.94243362314e-12,-1.27038561962e-11,8.57529633911e-06
0.08,floor,heinz,50,-0.00132641973689,-0.00402293375084,-7.24234353406e-06,0.0,0.0,-1.0,-0.00340584177986,0.00133756243031,9.29025085216,2.08899625029e-11,-4.70283100656e-12,1.42617899852e-05
0.09,floor,heinz,50,-2.66497262232e-05,-0.00233921378458,-7.02657890855e-06,0.0,0.0,-1.0,9.13308652705e-06,-0.000139946534819,9.29029649525,4.68478467824e-12,8.16413776861e-13,-1.25839845443e-07
0.1,floor,heinz,50,0.000625353588465,-0.00173848380801,-6.82071861437e-06,0.0,0.0,-1.0,2.04154377318e-05,-2.70380178772e-05,9.29029946802,4.63565037051e-12,3.28345337031e-12,-9.79432503859e-08
0.11,floor,heinz,50,0.00143053026012,-0.0012992304998,-6.6244531032e-06,0.0,0.0,-1.0,1.81742185989e-05,-7.8977443089e-05,9.2903051633,4.28980375528e-12,7.10351569233e-12,-1.22158242026e-07
0.12,floor,heinz,50,0.000322106898636,0.00153862946067,-6.44518304577e-06,0.0,0.0,-1.0,-0.000936017603202,0.00125837952814,9.29033314387,-7.8688492354e-12,7.16017696523e-12,4.49601518918e-06
0.13,floor,heinz,50,0.000229055220836,0.0020956561693,-6.26813116342e-06,0.0,0.0,-1.0,0.00264419625713,-0.00531124432062,9.29030056106,-2.67895640567e-11,-7.42018252398e-12,-1.39235131324e-05
0.14,floor,heinz,50,4.88969176274e-05,0.00196887950748,-6.09801938211e-06,0.0,0.0,-1.0,-0.000772344229695,0.00147807057097,9.29038728285,-4.16323399366e-12,1.39910565772e-12,3.99017611114e-06
